District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,Production,Crop_Label_22,Season_enc,District_enc,Crop_enc,Crop_22_enc,Production_log
Gazipur,Kharif 1,Green Papaya,2715,45.85,60.67,49.0,6.89,25.0,20.0,30,70.0,80,60,169.94262295081967,3540,papaya,0,18,11,12,8.172164452111904
Gopalganj,Kharif 1,Green Papaya,464,52.1,64.98,45.2,6.62,25.0,20.0,30,70.0,80,60,155.864898989899,2129,papaya,0,19,11,12,7.6638772587034705
Habiganj,Kharif 1,Green Papaya,8,50.39,59.03,49.25,6.57,25.0,20.0,30,70.0,80,60,333.72557471264366,720,papaya,0,20,11,12,6.580639137284949
Jamalpur,Kharif 1,Green Papaya,304,49.33,61.42,49.03,6.62,25.0,20.0,30,70.0,80,60,181.08838383838383,5304,papaya,0,21,11,12,8.576405051048084
Jashore,Kharif 1,Green Papaya,841,49.94,55.18,52.92,6.97,25.0,20.0,30,70.0,80,60,134.2247474747475,17019,papaya,0,22,11,12,9.742144402127366
Jhallokati,Kharif 1,Green Papaya,436,50.92,57.68,51.43,6.74,25.0,20.0,30,70.0,80,60,175.42564102564103,1250,papaya,0,23,11,12,7.1316985104669115
Jhenaidah,Kharif 1,Green Papaya,489,48.26,61.51,46.5,6.7,25.0,20.0,30,70.0,80,60,134.2247474747475,6349,papaya,0,24,11,12,8.756210091886738
Joypurhat,Kharif 1,Green Papaya,62,47.55,62.06,50.56,6.72,25.0,20.0,30,70.0,80,60,142.85416666666666,1763,papaya,0,25,11,12,7.475339236566737
Khagrachari,Kharif 1,Green Papaya,300,50.47,58.01,52.06,7.0,25.0,20.0,30,70.0,80,60,204.11111111111111,2433,papaya,0,26,11,12,7.797291273547472
Khulna,Kharif 1,Green Papaya,171,46.95,58.8,54.63,6.59,25.0,20.0,30,70.0,80,60,144.96843434343435,2574,papaya,0,27,11,12,7.853604813097837
Kishoreganj,Kharif 1,Green Papaya,108,51.1,53.67,52.7,7.01,25.0,20.0,30,70.0,80,60,181.08838383838383,4095,papaya,0,28,11,12,8.317766166719343
Kurigram,Kharif 1,Green Papaya,184,44.78,57.79,52.32,6.78,25.0,20.0,30,70.0,80,60,179.6013888888889,2187,papaya,0,29,11,12,7.690743163541872
Kushtia,Kharif 1,Green Papaya,300,52.96,62.2,50.22,6.71,25.0,20.0,30,70.0,80,60,129.44444444444446,5066,papaya,0,30,11,12,8.53050420547591
Lakshmipur,Kharif 1,Green Papaya,95,51.29,61.09,51.21,7.25,25.0,20.0,30,70.0,80,60,185.7563131313132,3954,papaya,0,31,11,12,8.282735880201754
Lalmonirhat,Kharif 1,Green Papaya,168,50.65,60.82,53.79,6.53,25.0,20.0,30,70.0,80,60,179.6013888888889,1548,papaya,0,32,11,12,7.3453648404168685
Madaripur,Kharif 1,Green Papaya,252,52.82,59.23,46.04,6.67,25.0,20.0,30,70.0,80,60,160.41666666666666,2212,papaya,0,33,11,12,7.70210434005105
Magura,Kharif 1,Green Papaya,752,54.86,59.08,48.99,6.49,25.0,20.0,30,70.0,80,60,134.2247474747475,6640,papaya,0,34,11,12,8.801017833540714
Manikganj,Kharif 1,Green Papaya,181,52.92,56.71,47.72,6.93,25.0,20.0,30,70.0,80,60,169.94262295081967,2599,papaya,0,35,11,12,7.8632667240095735
Meherpur,Kharif 1,Green Papaya,85,44.37,61.53,51.18,7.08,25.0,20.0,30,70.0,80,60,129.44444444444446,1805,papaya,0,36,11,12,7.498869733976931
Moulvibazar,Kharif 1,Green Papaya,263,46.05,60.54,53.73,7.08,25.0,20.0,30,70.0,80,60,333.72557471264366,1404,papaya,0,37,11,12,7.247792581767846
Munshiganj,Kharif 1,Green Papaya,97,48.01,60.79,48.25,6.99,25.0,20.0,30,70.0,80,60,169.94262295081967,600,papaya,0,38,11,12,6.398594934535208
Mymensingh,Kharif 1,Green Papaya,1234,49.96,57.19,42.86,6.7,25.0,20.0,30,70.0,80,60,181.08838383838383,22793,papaya,0,39,11,12,10.03425262241568
Naogaon,Kharif 1,Green Papaya,142,51.43,51.42,48.8,6.67,25.0,20.0,30,70.0,80,60,124.92,1908,papaya,0,40,11,12,7.554334823725748
Narail,Kharif 1,Green Papaya,365,47.71,62.94,52.78,6.4,25.0,20.0,30,70.0,80,60,134.2247474747475,3783,papaya,0,41,11,12,8.238536930171769
Narayanganj,Kharif 1,Green Papaya,48,50.44,57.35,51.65,7.15,25.0,20.0,30,70.0,80,60,169.94262295081967,1026,papaya,0,42,11,12,6.934397209928558
Narsingdi,Kharif 1,Green Papaya,293,47.62,55.99,51.33,6.83,25.0,20.0,30,70.0,80,60,169.94262295081967,5561,papaya,0,43,11,12,8.62371303479391
Natore,Kharif 1,Green Papaya,313,48.05,61.51,49.2,6.64,25.0,20.0,30,70.0,80,60,124.92,5991,papaya,0,44,11,12,8.698180525197055
Netrokona,Kharif 1,Green Papaya,191,45.67,57.66,46.2,7.01,25.0,20.0,30,70.0,80,60,181.08838383838383,3517,papaya,0,45,11,12,8.165647925297504
Nilphamari,Kharif 1,Green Papaya,69,47.12,62.81,51.59,6.54,25.0,20.0,30,70.0,80,60,179.6013888888889,2018,papaya,0,46,11,12,7.610357618312838
Noakhali,Kharif 1,Green Papaya,190,45.83,61.24,47.54,6.82,25.0,20.0,30,70.0,80,60,185.7563131313132,1486,papaya,0,47,11,12,7.304515946460155
Pabna,Kharif 1,Green Papaya,495,46.96,61.47,56.6,6.71,25.0,20.0,30,70.0,80,60,124.92,7394,papaya,0,48,11,12,8.9085593751449
Panchagar,Kharif 1,Green Papaya,74,53.03,54.21,51.75,6.87,25.0,20.0,30,70.0,80,60,154.21843434343435,1734,papaya,0,49,11,12,7.45876269238096
Patuakhali,Kharif 1,Green Papaya,753,47.04,63.34,48.3,6.73,25.0,20.0,30,70.0,80,60,207.8076923076923,3680,papaya,0,50,11,12,8.210939733379021
Pirojpur,Kharif 1,Green Papaya,438,57.76,59.98,48.2,6.45,25.0,20.0,30,70.0,80,60,175.42564102564103,1517,papaya,0,51,11,12,7.325148957955575
Rajbari,Kharif 1,Green Papaya,513,51.36,57.74,49.76,6.76,25.0,20.0,30,70.0,80,60,155.864898989899,6127,papaya,0,52,11,12,8.720623711420426
Rangamati,Kharif 1,Green Papaya,498,47.31,52.76,53.39,6.73,25.0,20.0,30,70.0,80,60,204.11111111111111,7682,papaya,0,54,11,12,8.946765374867635
Rangpur,Kharif 1,Green Papaya,234,51.98,60.5,50.6,6.9,25.0,20.0,30,70.0,80,60,179.6013888888889,3441,papaya,0,55,11,12,8.143807976771484
Satkhira,Kharif 1,Green Papaya,341,48.16,55.4,47.84,6.53,25.0,20.0,30,70.0,80,60,140.35353535353536,3054,papaya,0,56,11,12,8.024534871605695
Shariatpur,Kharif 1,Green Papaya,98,50.25,54.26,55.72,6.73,25.0,20.0,30,70.0,80,60,155.864898989899,1120,papaya,0,57,11,12,7.02197642307216
Sherpur,Kharif 1,Green Papaya,217,57.54,53.66,50.19,6.61,25.0,20.0,30,70.0,80,60,181.08838383838383,2859,papaya,0,58,11,12,7.958576903813898
Sirajganj,Kharif 1,Green Papaya,297,49.59,62.99,52.35,6.89,25.0,20.0,30,70.0,80,60,142.85416666666666,3953,papaya,0,59,11,12,8.282483003730562
Sunamganj,Kharif 1,Green Papaya,74,53.32,56.82,48.21,6.75,25.0,20.0,30,70.0,80,60,333.72557471264366,76,papaya,0,60,11,12,4.343805421853684
Sylhet,Kharif 1,Green Papaya,278,47.78,64.48,51.13,6.88,25.0,20.0,30,70.0,80,60,333.72557471264366,1016,papaya,0,61,11,12,6.92461239604856
Tangail,Kharif 1,Green Papaya,394,49.78,57.15,50.97,6.96,25.0,20.0,30,70.0,80,60,153.4104938271605,4984,papaya,0,62,11,12,8.514188682395938
Thakurgaon,Kharif 1,Green Papaya,91,55.18,53.0,44.37,6.88,25.0,20.0,30,70.0,80,60,154.21843434343435,1293,papaya,0,63,11,12,7.165493475060845
Bagerhat,Kharif 1,Jambura,84,18.84,15.44,11.22,7.08,27.5,25.0,30,80.0,90,70,144.96843434343435,723,orange,0,0,12,11,6.584791392385716
Bandarban,Kharif 1,Jambura,989,21.71,17.78,10.79,6.81,27.5,25.0,30,80.0,90,70,243.94444444444449,860,orange,0,1,12,11,6.7580945044277305
Barguna,Kharif 1,Jambura,373,20.41,16.4,9.77,7.02,27.5,25.0,30,80.0,90,70,207.8076923076923,258,orange,0,2,12,11,5.556828061699537
Barishal,Kharif 1,Jambura,405,18.92,16.01,9.35,6.91,27.5,25.0,30,80.0,90,70,175.42564102564103,1383,orange,0,3,12,11,7.232733136177615
Bhola,Kharif 1,Jambura,273,20.32,16.71,10.22,6.95,27.5,25.0,30,80.0,90,70,185.23090277777777,432,orange,0,4,12,11,6.07073772800249
Bogura,Kharif 1,Jambura,190,20.72,17.05,10.06,6.94,27.5,25.0,30,80.0,90,70,142.85416666666666,1829,orange,0,5,12,11,7.512071245835466
Brahmanbaria,Kharif 1,Jambura,178,20.31,17.66,10.22,6.81,27.5,25.0,30,80.0,90,70,185.7563131313132,1187,orange,0,6,12,11,7.080026499922591
Chandpur,Kharif 1,Jambura,22,17.74,17.99,10.13,6.61,27.5,25.0,30,80.0,90,70,168.796875,438,orange,0,7,12,11,6.0844994130751715
Chapai Nawabganj,Kharif 1,Jambura,109,18.73,16.19,10.31,6.88,27.5,25.0,30,80.0,90,70,124.92,398,orange,0,8,12,11,5.988961416889864
Chattogram,Kharif 1,Jambura,556,19.29,15.23,10.88,7.06,27.5,25.0,30,80.0,90,70,243.94444444444449,5774,orange,0,9,12,11,8.661293535389994
Chuadanga,Kharif 1,Jambura,51,19.49,16.14,10.35,6.74,27.5,25.0,30,80.0,90,70,129.44444444444446,201,orange,0,10,12,11,5.308267697401205
CoxsBazar,Kharif 1,Jambura,157,20.31,16.81,9.38,7.02,27.5,25.0,30,80.0,90,70,303.40277777777777,2298,orange,0,11,12,11,7.740229524763182
Cumilla,Kharif 1,Jambura,316,19.79,15.59,10.83,7.42,27.5,25.0,30,80.0,90,70,185.7563131313132,2115,orange,0,12,12,11,7.65728279297819
Dhaka,Kharif 1,Jambura,70,18.01,15.6,11.0,7.24,27.5,25.0,30,80.0,90,70,169.94262295081967,1215,orange,0,13,12,11,7.103322062526113
Dinajpur,Kharif 1,Jambura,141,20.03,16.89,11.9,7.37,27.5,25.0,30,80.0,90,70,154.21843434343435,1150,orange,0,14,12,11,7.048386408721883
Faridpur,Kharif 1,Jambura,100,20.3,16.5,9.34,7.1,27.5,25.0,30,80.0,90,70,155.864898989899,640,orange,0,15,12,11,6.46302945692067
Feni,Kharif 1,Jambura,59,20.24,16.58,10.16,7.27,27.5,25.0,30,80.0,90,70,248.1727642276423,157,orange,0,16,12,11,5.062595033026967
Gaibandha,Kharif 1,Jambura,64,20.85,15.8,8.76,6.87,27.5,25.0,30,80.0,90,70,179.6013888888889,453,orange,0,17,12,11,6.118097198041348
Gazipur,Kharif 1,Jambura,191,20.56,16.32,10.34,6.88,27.5,25.0,30,80.0,90,70,169.94262295081967,847,orange,0,18,12,11,6.742880635791903
Gopalganj,Kharif 1,Jambura,64,20.12,15.63,9.68,6.44,27.5,25.0,30,80.0,90,70,155.864898989899,689,orange,0,19,12,11,6.536691597591305
Habiganj,Kharif 1,Jambura,375,19.5,17.43,11.17,7.27,27.5,25.0,30,80.0,90,70,333.72557471264366,1424,orange,0,20,12,11,7.261927092702751
Jamalpur,Kharif 1,Jambura,189,17.63,17.58,9.54,7.34,27.5,25.0,30,80.0,90,70,181.08838383838383,1181,orange,0,21,12,11,7.074963197966044
Jashore,Kharif 1,Jambura,392,20.08,14.72,9.0,6.9,27.5,25.0,30,80.0,90,70,134.2247474747475,2320,orange,0,22,12,11,7.749753406274437
Jhallokati,Kharif 1,Jambura,336,19.82,15.63,9.73,6.97,27.5,25.0,30,80.0,90,70,175.42564102564103,1487,orange,0,23,12,11,7.305188215393037
Jhenaidah,Kharif 1,Jambura,114,19.9,15.06,8.82,6.86,27.5,25.0,30,80.0,90,70,134.2247474747475,1444,orange,0,24,12,11,7.275864600546533
Joypurhat,Kharif 1,Jambura,25,18.08,15.9,10.46,7.1,27.5,25.0,30,80.0,90,70,142.85416666666666,219,orange,0,25,12,11,5.393627546352362
Khagrachari,Kharif 1,Jambura,494,18.31,16.47,8.77,7.26,27.5,25.0,30,80.0,90,70,204.11111111111111,1038,orange,0,26,12,11,6.946013991099227
Khulna,Kharif 1,Jambura,221,20.82,15.11,10.03,6.65,27.5,25.0,30,80.0,90,70,144.96843434343435,1355,orange,0,27,12,11,7.212294468500341
Kishoreganj,Kharif 1,Jambura,150,19.53,15.63,8.76,7.11,27.5,25.0,30,80.0,90,70,181.08838383838383,1615,orange,0,28,12,11,7.38770923908104
Kurigram,Kharif 1,Jambura,48,20.38,15.55,9.82,6.96,27.5,25.0,30,80.0,90,70,179.6013888888889,411,orange,0,29,12,11,6.021023349349527
Kushtia,Kharif 1,Jambura,91,19.61,16.76,11.0,7.04,27.5,25.0,30,80.0,90,70,129.44444444444446,1745,orange,0,30,12,11,7.465082736399547
Lakshmipur,Kharif 1,Jambura,476,19.61,16.62,10.23,7.12,27.5,25.0,30,80.0,90,70,185.7563131313132,552,orange,0,31,12,11,6.315358001522335
Lalmonirhat,Kharif 1,Jambura,180,20.68,15.83,9.49,6.98,27.5,25.0,30,80.0,90,70,179.6013888888889,642,orange,0,32,12,11,6.466144724237619
Madaripur,Kharif 1,Jambura,63,18.97,16.73,9.99,7.0,27.5,25.0,30,80.0,90,70,160.41666666666666,479,orange,0,33,12,11,6.173786103901937
Magura,Kharif 1,Jambura,136,19.69,16.01,10.02,6.97,27.5,25.0,30,80.0,90,70,134.2247474747475,1615,orange,0,34,12,11,7.38770923908104
Manikganj,Kharif 1,Jambura,106,19.04,16.28,10.29,7.22,27.5,25.0,30,80.0,90,70,169.94262295081967,709,orange,0,35,12,11,6.565264970035361
Meherpur,Kharif 1,Jambura,117,19.07,18.21,9.19,7.11,27.5,25.0,30,80.0,90,70,129.44444444444446,703,orange,0,36,12,11,6.556778356158042
Moulvibazar,Kharif 1,Jambura,285,19.22,17.88,10.37,7.07,27.5,25.0,30,80.0,90,70,333.72557471264366,3774,orange,0,37,12,11,8.236155661683124
Munshiganj,Kharif 1,Jambura,25,19.84,15.26,8.39,6.75,27.5,25.0,30,80.0,90,70,169.94262295081967,158,orange,0,38,12,11,5.0689042022202315
Mymensingh,Kharif 1,Jambura,1257,19.02,17.37,9.63,6.94,27.5,25.0,30,80.0,90,70,181.08838383838383,3998,orange,0,39,12,11,8.293799608846818
Naogaon,Kharif 1,Jambura,182,21.06,17.36,9.72,7.21,27.5,25.0,30,80.0,90,70,124.92,637,orange,0,40,12,11,6.45833828334479
Narail,Kharif 1,Jambura,227,18.53,15.41,10.39,7.03,27.5,25.0,30,80.0,90,70,134.2247474747475,1316,orange,0,41,12,11,7.183111701743281
Narayanganj,Kharif 1,Jambura,14,19.36,17.36,10.02,7.16,27.5,25.0,30,80.0,90,70,169.94262295081967,140,orange,0,42,12,11,4.948759890378168
Narsingdi,Kharif 1,Jambura,80,19.06,18.08,9.17,7.39,27.5,25.0,30,80.0,90,70,169.94262295081967,891,orange,0,43,12,11,6.79346613258001
Natore,Kharif 1,Jambura,229,21.28,15.44,9.42,7.24,27.5,25.0,30,80.0,90,70,124.92,3424,orange,0,44,12,11,8.138856750696325
Netrokona,Kharif 1,Jambura,242,19.81,15.64,10.13,7.04,27.5,25.0,30,80.0,90,70,181.08838383838383,1495,orange,0,45,12,11,7.310550158534422
Nilphamari,Kharif 1,Jambura,88,20.79,17.56,9.96,6.91,27.5,25.0,30,80.0,90,70,179.6013888888889,1496,orange,0,46,12,11,7.311218384419629
Noakhali,Kharif 1,Jambura,45,17.83,16.82,9.66,6.48,27.5,25.0,30,80.0,90,70,185.7563131313132,293,orange,0,47,12,11,5.683579767338681
Pabna,Kharif 1,Jambura,66,19.89,17.1,9.72,6.98,27.5,25.0,30,80.0,90,70,124.92,606,orange,0,48,12,11,6.408528791059498
Panchagar,Kharif 1,Jambura,185,20.63,16.89,10.43,6.95,27.5,25.0,30,80.0,90,70,154.21843434343435,1580,orange,0,49,12,11,7.365812837209472
Patuakhali,Kharif 1,Jambura,219,19.68,16.94,9.7,7.1,27.5,25.0,30,80.0,90,70,207.8076923076923,224,orange,0,50,12,11,5.41610040220442
Pirojpur,Kharif 1,Jambura,251,20.83,15.23,9.96,6.99,27.5,25.0,30,80.0,90,70,175.42564102564103,840,orange,0,51,12,11,6.734591659972948
Rajbari,Kharif 1,Jambura,373,18.97,17.59,11.31,6.95,27.5,25.0,30,80.0,90,70,155.864898989899,1323,orange,0,52,12,11,7.188412736496954
Rajshahi,Kharif 1,Jambura,256,21.24,17.71,9.15,6.65,27.5,25.0,30,80.0,90,70,124.92,1352,orange,0,53,12,11,7.210079628170788
Rangamati,Kharif 1,Jambura,380,22.28,16.32,8.9,6.82,27.5,25.0,30,80.0,90,70,204.11111111111111,2811,orange,0,54,12,11,7.941651252930556
Rangpur,Kharif 1,Jambura,114,19.15,16.51,10.48,7.12,27.5,25.0,30,80.0,90,70,179.6013888888889,1301,orange,0,55,12,11,7.171656822768514
Satkhira,Kharif 1,Jambura,189,19.06,15.03,9.6,7.38,27.5,25.0,30,80.0,90,70,140.35353535353536,813,orange,0,56,12,11,6.70196036600254
Shariatpur,Kharif 1,Jambura,292,21.29,17.06,9.82,7.0,27.5,25.0,30,80.0,90,70,155.864898989899,1059,orange,0,57,12,11,6.966024187106113
Sherpur,Kharif 1,Jambura,115,21.44,17.12,9.54,7.09,27.5,25.0,30,80.0,90,70,181.08838383838383,539,orange,0,58,12,11,6.29156913955832
Sirajganj,Kharif 1,Jambura,42,18.97,16.49,9.85,7.22,27.5,25.0,30,80.0,90,70,142.85416666666666,648,orange,0,59,12,11,6.47543271670409
Sunamganj,Kharif 1,Jambura,107,19.09,17.67,10.97,6.85,27.5,25.0,30,80.0,90,70,333.72557471264366,3118,orange,0,60,12,11,8.045267716607803
Sylhet,Kharif 1,Jambura,516,19.25,16.22,10.49,7.1,27.5,25.0,30,80.0,90,70,333.72557471264366,422,orange,0,61,12,11,6.0473721790462776
Tangail,Kharif 1,Jambura,155,18.0,17.11,10.53,6.86,27.5,25.0,30,80.0,90,70,153.4104938271605,1901,orange,0,62,12,11,7.550661243105336
Thakurgaon,Kharif 1,Jambura,105,18.5,15.54,9.16,7.2,27.5,25.0,30,80.0,90,70,154.21843434343435,503,orange,0,63,12,11,6.222576268071369
Bagerhat,Kharif 1,Jute,3603,73.68,46.79,37.23,6.76,30.0,20.0,40,75.0,80,70,144.96843434343435,18269,jute,0,0,13,4,9.813015649372053
Brahmanbaria,Kharif 1,Jute,5559,83.03,45.63,39.94,6.66,30.0,20.0,40,75.0,80,70,185.7563131313132,29627,jute,0,6,13,4,10.29647513913318
Chapai Nawabganj,Kharif 1,Jute,3099,78.17,51.78,40.48,6.89,30.0,20.0,40,75.0,80,70,124.92,15557,jute,0,8,13,4,9.652330254766719
Cumilla,Kharif 1,Jute,818,79.18,45.45,42.23,6.88,30.0,20.0,40,75.0,80,70,185.7563131313132,3576,jute,0,12,13,4,8.182279739259018
Dhaka,Kharif 1,Jute,7754,80.72,47.6,38.99,6.38,30.0,20.0,40,75.0,80,70,169.94262295081967,34193,jute,0,13,13,4,10.439805469063055
Gazipur,Kharif 1,Jute,3712,75.47,44.28,38.22,6.69,30.0,20.0,40,75.0,80,70,169.94262295081967,12918,jute,0,18,13,4,9.466454374960302
Habiganj,Kharif 1,Jute,745,75.4,46.67,41.09,6.7,30.0,20.0,40,75.0,80,70,333.72557471264366,4038,jute,0,20,13,4,8.303752415563412
Joypurhat,Kharif 1,Jute,4339,80.62,47.53,41.07,6.72,30.0,20.0,40,75.0,80,70,142.85416666666666,23474,jute,0,25,13,4,10.063691304076464
Khulna,Kharif 1,Jute,3181,81.38,48.19,39.42,6.59,30.0,20.0,40,75.0,80,70,144.96843434343435,16382,jute,0,27,13,4,9.703999490820264
Lakshmipur,Kharif 1,Jute,484,86.85,43.38,40.75,6.43,30.0,20.0,40,75.0,80,70,185.7563131313132,1859,jute,0,31,13,4,7.528331766707247
Manikganj,Kharif 1,Jute,8914,79.97,46.97,40.7,6.87,30.0,20.0,40,75.0,80,70,169.94262295081967,36815,jute,0,35,13,4,10.513687812275148
Munshiganj,Kharif 1,Jute,7320,77.57,49.88,41.36,7.23,30.0,20.0,40,75.0,80,70,169.94262295081967,28548,jute,0,38,13,4,10.25937718820102
Narayanganj,Kharif 1,Jute,720,78.24,47.71,38.92,6.46,30.0,20.0,40,75.0,80,70,169.94262295081967,3468,jute,0,42,13,4,8.15162164696975
Narsingdi,Kharif 1,Jute,6636,86.84,48.89,40.26,6.73,30.0,20.0,40,75.0,80,70,169.94262295081967,32450,jute,0,43,13,4,10.387486538298399
Pirojpur,Kharif 1,Jute,900,83.31,44.7,35.4,6.74,30.0,20.0,40,75.0,80,70,175.42564102564103,2079,jute,0,51,13,4,7.640123172695364
Sherpur,Kharif 1,Jute,3302,82.26,46.82,37.35,6.74,30.0,20.0,40,75.0,80,70,181.08838383838383,17666,jute,0,58,13,4,9.77945377161268
Sunamganj,Kharif 1,Jute,821,83.42,45.47,39.72,6.8,30.0,20.0,40,75.0,80,70,333.72557471264366,3933,jute,0,60,13,4,8.277411998949004
Bagerhat,Rabi,Lemon,89,19.38,16.27,10.37,6.94,17.5,10.0,25,77.5,95,60,144.96843434343435,392,orange,2,0,14,11,5.973809611869261
Bandarban,Rabi,Lemon,3726,19.75,16.27,9.66,6.86,17.5,10.0,25,77.5,95,60,243.94444444444449,487,orange,2,1,14,11,6.1903154058531475
Barguna,Rabi,Lemon,1337,21.0,17.33,9.93,7.0,17.5,10.0,25,77.5,95,60,207.8076923076923,460,orange,2,2,14,11,6.133398042996649
Barishal,Rabi,Lemon,1005,18.62,16.89,10.05,7.15,17.5,10.0,25,77.5,95,60,175.42564102564103,1420,orange,2,3,14,11,7.259116128097101
Bhola,Rabi,Lemon,471,20.01,17.12,9.11,7.01,17.5,10.0,25,77.5,95,60,185.23090277777777,182,orange,2,4,14,11,5.209486152841421
Bogura,Rabi,Lemon,108,19.12,17.51,9.54,6.97,17.5,10.0,25,77.5,95,60,142.85416666666666,332,orange,2,5,14,11,5.808142489980444
Brahmanbaria,Rabi,Lemon,205,19.61,16.22,10.82,7.03,17.5,10.0,25,77.5,95,60,185.7563131313132,1422,orange,2,6,14,11,7.260522598089852
Chandpur,Rabi,Lemon,44,21.08,15.94,10.54,6.89,17.5,10.0,25,77.5,95,60,168.796875,468,orange,2,7,14,11,6.150602768446279
Chapai Nawabganj,Rabi,Lemon,307,19.8,15.47,9.97,6.95,17.5,10.0,25,77.5,95,60,124.92,615,orange,2,8,14,11,6.423246963533519
Chattogram,Rabi,Lemon,66350,19.63,15.73,10.16,6.58,17.5,10.0,25,77.5,95,60,243.94444444444449,6952,orange,2,9,14,11,8.846928500099018
Chuadanga,Rabi,Lemon,89,17.98,19.48,9.83,7.23,17.5,10.0,25,77.5,95,60,129.44444444444446,165,orange,2,10,14,11,5.111987788356544
CoxsBazar,Rabi,Lemon,67500,20.46,17.79,10.82,7.08,17.5,10.0,25,77.5,95,60,303.40277777777777,940,orange,2,11,14,11,6.846943139585379
Cumilla,Rabi,Lemon,1642,20.34,15.21,9.89,6.86,17.5,10.0,25,77.5,95,60,185.7563131313132,2190,orange,2,12,14,11,7.692113339595466
Dhaka,Rabi,Lemon,552,22.12,15.24,10.15,7.42,17.5,10.0,25,77.5,95,60,169.94262295081967,9192,orange,2,13,14,11,9.126197603863755
Dinajpur,Rabi,Lemon,348,19.22,17.03,10.7,7.04,17.5,10.0,25,77.5,95,60,154.21843434343435,737,orange,2,14,14,11,6.6039438246004725
Faridpur,Rabi,Lemon,110,19.84,17.09,9.54,6.8,17.5,10.0,25,77.5,95,60,155.864898989899,264,orange,2,15,14,11,5.579729825986222
Feni,Rabi,Lemon,72,19.87,17.1,10.95,7.2,17.5,10.0,25,77.5,95,60,248.1727642276423,143,orange,2,16,14,11,4.969813299576001
Gaibandha,Rabi,Lemon,145,21.43,16.3,9.09,7.1,17.5,10.0,25,77.5,95,60,179.6013888888889,336,orange,2,17,14,11,5.820082930352362
Gazipur,Rabi,Lemon,213,19.47,16.43,10.99,7.1,17.5,10.0,25,77.5,95,60,169.94262295081967,557,orange,2,18,14,11,6.324358962381311
Gopalganj,Rabi,Lemon,1250,19.91,16.88,9.79,6.93,17.5,10.0,25,77.5,95,60,155.864898989899,463,orange,2,19,14,11,6.139884552226255
Habiganj,Rabi,Lemon,212,20.29,16.64,9.86,7.11,17.5,10.0,25,77.5,95,60,333.72557471264366,834,orange,2,20,14,11,6.727431724850855
Jamalpur,Rabi,Lemon,425,19.8,14.35,8.87,6.96,17.5,10.0,25,77.5,95,60,181.08838383838383,359,orange,2,21,14,11,5.886104031450156
Jashore,Rabi,Lemon,865,19.06,16.32,9.74,7.14,17.5,10.0,25,77.5,95,60,134.2247474747475,991,orange,2,22,14,11,6.899723107284872
Jhallokati,Rabi,Lemon,1625,19.81,15.7,9.39,6.62,17.5,10.0,25,77.5,95,60,175.42564102564103,635,orange,2,23,14,11,6.455198563340122
Jhenaidah,Rabi,Lemon,142,20.84,16.72,9.65,6.93,17.5,10.0,25,77.5,95,60,134.2247474747475,670,orange,2,24,14,11,6.508769136971682
Joypurhat,Rabi,Lemon,48,18.37,19.51,9.93,7.38,17.5,10.0,25,77.5,95,60,142.85416666666666,163,orange,2,25,14,11,5.099866427824199
Khagrachari,Rabi,Lemon,689,19.74,16.91,10.59,6.86,17.5,10.0,25,77.5,95,60,204.11111111111111,875,orange,2,26,14,11,6.775366090936392
Khulna,Rabi,Lemon,291,18.76,16.24,10.13,6.89,17.5,10.0,25,77.5,95,60,144.96843434343435,413,orange,2,27,14,11,6.025865973825314
Kishoreganj,Rabi,Lemon,119,20.98,17.47,10.19,6.93,17.5,10.0,25,77.5,95,60,181.08838383838383,854,orange,2,28,14,11,6.75110146893676
Kurigram,Rabi,Lemon,125,17.79,17.03,9.35,6.76,17.5,10.0,25,77.5,95,60,179.6013888888889,168,orange,2,29,14,11,5.1298987149230735
Kushtia,Rabi,Lemon,146,18.92,16.97,9.48,6.55,17.5,10.0,25,77.5,95,60,129.44444444444446,1758,orange,2,30,14,11,7.472500744737558
Lakshmipur,Rabi,Lemon,560,20.02,17.15,11.09,6.97,17.5,10.0,25,77.5,95,60,185.7563131313132,364,orange,2,31,14,11,5.8998973535824915
Lalmonirhat,Rabi,Lemon,130,21.42,18.59,9.57,7.05,17.5,10.0,25,77.5,95,60,179.6013888888889,360,orange,2,32,14,11,5.8888779583328805
Madaripur,Rabi,Lemon,28,19.5,15.43,11.0,7.01,17.5,10.0,25,77.5,95,60,160.41666666666666,339,orange,2,33,14,11,5.8289456176102075
Magura,Rabi,Lemon,257,18.93,17.02,9.86,6.99,17.5,10.0,25,77.5,95,60,134.2247474747475,1391,orange,2,34,14,11,7.238496840894365
Manikganj,Rabi,Lemon,310,21.79,15.63,10.01,7.03,17.5,10.0,25,77.5,95,60,169.94262295081967,1414,orange,2,35,14,11,7.254884810077338
Meherpur,Rabi,Lemon,157,17.88,17.1,10.65,7.24,17.5,10.0,25,77.5,95,60,129.44444444444446,888,orange,2,36,14,11,6.790097235513905
Moulvibazar,Rabi,Lemon,1101,17.0,15.64,10.77,6.98,17.5,10.0,25,77.5,95,60,333.72557471264366,9898,orange,2,37,14,11,9.200189020919808
